match_date,equity
,100.0
2025-09-20,100.17
2025-09-27,91.64999999999999
2025-10-19,85.77000000000001
2026-01-01,85.06
2026-01-06,82.71000000000002
2026-01-12,78.17000000000003
2026-01-19,79.24
2026-02-09,78.52499999999999
2026-02-16,74.49499999999999
2026-03-02,72.13499999999999
2026-03-03,70.59499999999998
2026-03-04,67.85499999999998
2026-03-05,62.76499999999997
2026-03-06,64.48499999999997
2026-03-07,64.27499999999996
2026-03-08,64.75999999999998
2026-03-09,64.78999999999999
2026-03-10,64.45
2026-03-11,63.45
2026-03-12,64.01
